5,1,0.000030
5,1,0.000025
5,1,0.000018
5,1,0.000025
5,1,0.000025
5,1,0.000018
5,1,0.000024
5,1,0.000025
5,1,0.000018
5,1,0.000024
5,2,0.000291
5,2,0.000234
5,2,0.000251
5,2,0.000238
5,2,0.000231
5,2,0.000223
5,2,0.000244
5,2,0.000232
5,2,0.000221
5,2,0.000231
10,1,0.000526
10,1,0.000474
10,1,0.000474
10,1,0.000528
10,1,0.000474
10,1,0.000470
10,1,0.000515
10,1,0.000472
10,1,0.000470
10,1,0.000532
10,2,0.001493
10,2,0.001446
10,2,0.001441
10,2,0.001415
10,2,0.001456
10,2,0.001402
10,2,0.001404
10,2,0.001422
10,2,0.001409
10,2,0.001414
10,4,0.002015
10,4,0.001939
10,4,0.001891
10,4,0.001965
10,4,0.001942
10,4,0.001876
10,4,0.001888
10,4,0.001866
10,4,0.001972
10,4,0.001889
20,1,0.021322
20,1,0.021591
20,1,0.021395
20,1,0.021190
20,1,0.021318
20,1,0.021508
20,1,0.021271
20,1,0.021242
20,1,0.021434
20,1,0.021270
20,2,0.029315
20,2,0.029400
20,2,0.029425
20,2,0.029391
20,2,0.029306
20,2,0.029329
20,2,0.029315
20,2,0.029303
20,2,0.029232
20,2,0.029140
20,4,0.030679
20,4,0.030580
20,4,0.030592
20,4,0.031638
20,4,0.031497
20,4,0.031186
20,4,0.030474
20,4,0.030843
20,4,0.030981
20,4,0.030555
100,1,3.651549
100,1,3.670104
100,1,3.673680
100,1,3.660584
100,1,3.667434
100,1,3.653763
100,1,3.646118
100,1,3.663953
100,1,3.664295
100,1,3.662806
100,2,3.735560
100,2,3.818127
100,2,3.830346
100,2,3.322447
100,2,3.755522
100,2,3.302358
100,2,3.313027
100,2,3.789429
100,2,3.317821
100,2,3.717731
100,4,2.615671
100,4,2.784423
100,4,3.080957
100,4,2.983709
100,4,2.734889
100,4,2.865639
100,4,3.225830
100,4,3.185039
100,4,2.839703
100,4,3.109690
100,8,2.797737
100,8,2.831316
100,8,2.834292
100,8,2.813564
100,8,2.878193
100,8,2.881945
100,8,2.881786
100,8,2.831989
100,8,2.887063
100,8,2.804675
100,16,3.518090
100,16,3.363501
100,16,3.312597
100,16,3.400825
100,16,3.420263
100,16,3.327824
100,16,3.303066
100,16,3.319541
100,16,3.456785
100,16,3.574937
200,1,14.217680
200,1,14.244830
200,1,14.300434
200,1,14.280710
200,1,14.224798
200,1,14.259306
200,1,14.190830
200,1,14.190005
200,1,14.244974
200,1,14.228358
200,2,11.640863
200,2,11.789587
200,2,11.820012
200,2,14.349172
200,2,11.783714
200,2,15.501578
200,2,11.874011
200,2,11.739602
200,2,11.874831
200,2,11.811090
200,4,11.057765
200,4,10.543582
200,4,10.871989
200,4,11.555206
200,4,10.971691
200,4,11.664087
200,4,10.638139
200,4,9.993120
200,4,11.976456
200,4,11.121168
200,8,11.060452
200,8,10.369045
200,8,10.674120
200,8,10.244594
200,8,10.508896
200,8,10.498547
200,8,10.108292
200,8,10.521179
200,8,9.901780
200,8,10.328396
200,16,11.356110
200,16,11.711132
200,16,11.171141
200,16,11.544396
200,16,11.073015
200,16,11.215444
200,16,11.252260
200,16,10.665507
200,16,11.083264
200,16,11.248081
